Data,Hora,Sensor,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa,BPS,BPG,BPD,Modo,Snl_Rdo,Valido,SAGADA,Vx,Vy,Vz,Erro_IF,Retardo
25/07/2023,13:30:00:515,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:525,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:535,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:545,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:555,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:565,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:575,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:585,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:595,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:605,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:615,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:625,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:635,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:645,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:655,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:665,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:675,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:685,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:695,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:705,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:715,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:725,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:735,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:745,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:755,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:765,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:775,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,53,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:785,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:795,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:805,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:815,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:825,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:835,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
25/07/2023,13:30:00:845,Bearn-CLBI,0.18886,1.82996,1.73577,0.313,-0.100,0.352,5,2,26,RADAR,54,Nao_Valido,SMGMDM,0.000,0.000,0.000,-,5
