Tempo Universal,Tempo Relativo,S,G,D,Snl_Rdo,Modo,Elev,Azim,Dist,X_Rampa,Y_Rampa,Z_Rampa
14:10:01:715,0.000,D,D,D,66,RADAR,-0.020,1.818,1.377,0.000,0.000,-0.002
14:10:01:725,0.010,D,D,D,66,RADAR,-0.020,1.818,1.377,0.000,0.000,-0.001
14:10:01:735,0.020,D,D,D,66,RADAR,-0.020,1.818,1.379,0.002,-0.000,-0.001
14:10:01:745,0.030,D,D,D,66,RADAR,-0.020,1.818,1.382,0.004,-0.001,-0.001
14:10:01:755,0.040,D,D,D,66,RADAR,-0.020,1.818,1.385,0.007,-0.002,-0.001
14:10:01:765,0.050,D,D,D,66,RADAR,-0.020,1.818,1.388,0.010,-0.002,-0.001
14:10:01:775,0.060,D,D,D,66,RADAR,-0.019,1.818,1.391,0.013,-0.003,-0.000
14:10:01:785,0.070,D,D,D,66,RADAR,-0.018,1.818,1.394,0.016,-0.004,0.001
14:10:01:795,0.080,D,D,D,66,RADAR,-0.017,1.819,1.397,0.019,-0.005,0.002
14:10:01:805,0.090,D,D,D,66,RADAR,-0.016,1.819,1.401,0.022,-0.007,0.004
14:10:01:815,0.100,D,D,D,66,RADAR,-0.015,1.819,1.404,0.025,-0.008,0.006
14:10:01:825,0.110,D,D,D,66,RADAR,-0.012,1.819,1.407,0.028,-0.009,0.009
14:10:01:835,0.120,D,D,D,66,RADAR,-0.011,1.820,1.410,0.031,-0.010,0.011
14:10:01:845,0.130,D,D,D,66,RADAR,-0.010,1.820,1.413,0.034,-0.011,0.013
14:10:01:855,0.140,D,D,D,66,RADAR,-0.007,1.820,1.416,0.037,-0.012,0.017
14:10:01:865,0.150,D,D,D,66,RADAR,-0.005,1.820,1.420,0.041,-0.013,0.019
14:10:01:875,0.160,D,D,D,66,RADAR,-0.002,1.821,1.423,0.043,-0.014,0.023
14:10:01:885,0.170,D,D,D,66,RADAR,-0.001,1.821,1.426,0.047,-0.016,0.025
14:10:01:895,0.180,D,D,D,66,RADAR,0.002,1.821,1.429,0.050,-0.017,0.030
14:10:01:905,0.190,D,D,D,66,RADAR,0.004,1.821,1.433,0.053,-0.018,0.032
14:10:01:915,0.200,D,D,D,66,RADAR,0.007,1.822,1.436,0.056,-0.019,0.036
14:10:01:925,0.210,D,D,D,66,RADAR,0.008,1.822,1.439,0.059,-0.020,0.038
14:10:01:935,0.220,D,D,D,66,RADAR,0.011,1.823,1.442,0.062,-0.022,0.043
14:10:01:945,0.230,D,D,D,66,RADAR,0.013,1.823,1.446,0.065,-0.023,0.045
14:10:01:955,0.240,D,D,D,66,RADAR,0.016,1.823,1.449,0.068,-0.024,0.050
14:10:01:965,0.250,D,D,D,66,RADAR,0.018,1.823,1.452,0.071,-0.025,0.052
14:10:01:975,0.260,D,D,D,66,RADAR,0.019,1.824,1.455,0.074,-0.026,0.055
14:10:01:985,0.270,D,D,D,66,RADAR,0.023,1.824,1.459,0.077,-0.028,0.059
14:10:01:995,0.280,D,D,D,66,RADAR,0.024,1.824,1.462,0.080,-0.029,0.062
14:10:02:005,0.290,D,D,D,66,RADAR,0.028,1.825,1.465,0.083,-0.030,0.067
14:10:02:015,0.300,D,D,D,66,RADAR,0.029,1.825,1.469,0.086,-0.031,0.069
14:10:02:025,0.310,D,D,D,66,RADAR,0.032,1.825,1.472,0.089,-0.033,0.074
14:10:02:035,0.320,D,D,D,66,RADAR,0.034,1.825,1.475,0.092,-0.034,0.077
14:10:02:045,0.330,D,D,D,66,RADAR,0.037,1.826,1.479,0.095,-0.035,0.082
14:10:02:055,0.340,D,D,D,66,RADAR,0.039,1.826,1.482,0.098,-0.036,0.084
14:10:02:065,0.350,D,D,D,66,RADAR,0.042,1.826,1.486,0.101,-0.038,0.089
14:10:02:075,0.360,D,D,D,66,RADAR,0.044,1.826,1.489,0.104,-0.039,0.092
14:10:02:085,0.370,D,D,D,66,RADAR,0.047,1.827,1.492,0.107,-0.040,0.097
14:10:02:095,0.380,D,D,D,66,RADAR,0.049,1.827,1.496,0.110,-0.041,0.100
14:10:02:105,0.390,D,D,D,66,RADAR,0.052,1.827,1.499,0.113,-0.043,0.105
14:10:02:115,0.400,D,D,D,66,RADAR,0.054,1.828,1.503,0.116,-0.044,0.107
14:10:02:125,0.410,D,D,D,66,RADAR,0.056,1.828,1.506,0.119,-0.045,0.110
14:10:02:135,0.420,D,D,D,66,RADAR,0.059,1.828,1.509,0.122,-0.046,0.115
14:10:02:145,0.430,D,D,D,66,RADAR,0.061,1.828,1.513,0.125,-0.047,0.118
14:10:02:155,0.440,D,D,D,66,RADAR,0.064,1.829,1.516,0.128,-0.049,0.123
14:10:02:165,0.450,D,D,D,66,RADAR,0.065,1.829,1.520,0.131,-0.050,0.126
14:10:02:175,0.460,D,D,D,66,RADAR,0.069,1.829,1.523,0.134,-0.051,0.131
14:10:02:185,0.470,D,D,D,66,RADAR,0.070,1.829,1.527,0.137,-0.052,0.134
14:10:02:195,0.480,D,D,D,66,RADAR,0.073,1.830,1.530,0.140,-0.053,0.139
14:10:02:205,0.490,D,D,D,66,RADAR,0.075,1.830,1.534,0.143,-0.054,0.142
14:10:02:215,0.500,D,D,D,66,RADAR,0.078,1.830,1.537,0.146,-0.056,0.147
14:10:02:225,0.510,D,D,D,66,RADAR,0.080,1.830,1.541,0.149,-0.057,0.149
14:10:02:235,0.520,D,D,D,66,RADAR,0.083,1.831,1.544,0.152,-0.058,0.155
14:10:02:245,0.530,D,D,D,66,RADAR,0.085,1.831,1.548,0.155,-0.059,0.157
14:10:02:255,0.540,D,D,D,66,RADAR,0.086,1.831,1.551,0.158,-0.060,0.160
14:10:02:265,0.550,D,D,D,66,RADAR,0.089,1.831,1.555,0.161,-0.062,0.165
14:10:02:275,0.560,D,D,D,66,RADAR,0.091,1.832,1.558,0.164,-0.063,0.168
14:10:02:285,0.570,D,D,D,66,RADAR,0.094,1.832,1.562,0.167,-0.064,0.173
14:10:02:295,0.580,D,D,D,66,RADAR,0.096,1.832,1.566,0.170,-0.065,0.176
14:10:02:305,0.590,D,D,D,66,RADAR,0.099,1.832,1.569,0.173,-0.066,0.181
14:10:02:315,0.600,D,D,D,66,RADAR,0.100,1.832,1.573,0.176,-0.067,0.184
14:10:02:325,0.610,D,D,D,66,RADAR,0.103,1.833,1.576,0.179,-0.069,0.189
14:10:02:335,0.620,D,D,D,66,RADAR,0.105,1.833,1.580,0.182,-0.070,0.192
14:10:02:345,0.630,D,D,D,66,RADAR,0.108,1.833,1.584,0.185,-0.071,0.197
14:10:02:355,0.640,D,D,D,66,RADAR,0.110,1.833,1.587,0.188,-0.072,0.200
14:10:02:365,0.650,D,D,D,66,RADAR,0.113,1.834,1.591,0.191,-0.073,0.205
14:10:02:375,0.660,D,D,D,66,RADAR,0.114,1.834,1.594,0.194,-0.075,0.208
14:10:02:385,0.670,D,D,D,66,RADAR,0.117,1.834,1.598,0.197,-0.076,0.213
14:10:02:395,0.680,D,D,D,66,RADAR,0.119,1.834,1.602,0.200,-0.077,0.216
14:10:02:405,0.690,D,D,D,66,RADAR,0.120,1.834,1.605,0.203,-0.078,0.219
14:10:02:415,0.700,D,D,D,66,RADAR,0.123,1.835,1.609,0.206,-0.079,0.224
14:10:02:425,0.710,D,D,D,66,RADAR,0.125,1.835,1.613,0.209,-0.080,0.227
14:10:02:435,0.720,D,D,D,66,RADAR,0.128,1.835,1.616,0.212,-0.082,0.232
14:10:02:445,0.730,D,D,D,66,RADAR,0.129,1.835,1.620,0.215,-0.083,0.235
14:10:02:455,0.740,D,D,D,66,RADAR,0.132,1.836,1.624,0.218,-0.084,0.240
14:10:02:465,0.750,D,D,D,66,RADAR,0.133,1.836,1.627,0.221,-0.085,0.243
14:10:02:475,0.760,D,D,D,66,RADAR,0.136,1.836,1.631,0.224,-0.086,0.248
14:10:02:485,0.770,D,D,D,66,RADAR,0.138,1.836,1.635,0.227,-0.087,0.251
14:10:02:495,0.780,D,D,D,66,RADAR,0.141,1.836,1.638,0.230,-0.089,0.256
14:10:02:505,0.790,D,D,D,66,RADAR,0.142,1.837,1.642,0.233,-0.090,0.259
14:10:02:515,0.800,D,D,D,66,RADAR,0.145,1.837,1.646,0.236,-0.091,0.264
14:10:02:525,0.810,D,D,D,66,RADAR,0.146,1.837,1.650,0.239,-0.092,0.267
14:10:02:535,0.820,D,D,D,66,RADAR,0.148,1.837,1.653,0.242,-0.093,0.270
14:10:02:545,0.830,D,D,D,66,RADAR,0.151,1.837,1.657,0.245,-0.094,0.275
14:10:02:555,0.840,D,D,D,66,RADAR,0.152,1.838,1.661,0.248,-0.095,0.278
14:10:02:565,0.850,D,D,D,66,RADAR,0.155,1.838,1.665,0.251,-0.097,0.283
14:10:02:575,0.860,D,D,D,66,RADAR,0.156,1.838,1.668,0.254,-0.098,0.286
14:10:02:585,0.870,D,D,D,66,RADAR,0.159,1.838,1.672,0.257,-0.099,0.291
14:10:02:595,0.880,D,D,D,66,RADAR,0.160,1.838,1.676,0.260,-0.100,0.294
14:10:02:605,0.890,D,D,D,66,RADAR,0.163,1.839,1.680,0.263,-0.101,0.299
14:10:02:615,0.900,D,D,D,66,RADAR,0.165,1.839,1.683,0.266,-0.102,0.302
14:10:02:625,0.910,D,D,D,66,RADAR,0.167,1.839,1.687,0.269,-0.104,0.307
14:10:02:635,0.920,D,D,D,66,RADAR,0.169,1.839,1.691,0.272,-0.105,0.310
14:10:02:645,0.930,D,D,D,66,RADAR,0.171,1.839,1.695,0.275,-0.106,0.315
14:10:02:655,0.940,D,D,D,66,RADAR,0.173,1.840,1.699,0.278,-0.107,0.318
14:10:02:665,0.950,D,D,D,66,RADAR,0.174,1.840,1.702,0.281,-0.108,0.321
14:10:02:675,0.960,D,D,D,66,RADAR,0.177,1.840,1.706,0.284,-0.109,0.326
14:10:02:685,0.970,D,D,D,66,RADAR,0.178,1.840,1.710,0.287,-0.110,0.329
14:10:02:695,0.980,D,D,D,66,RADAR,0.181,1.840,1.714,0.290,-0.112,0.334
14:10:02:705,0.990,D,D,D,66,RADAR,0.182,1.840,1.718,0.293,-0.113,0.337
14:10:02:715,1.000,D,D,D,66,RADAR,0.185,1.841,1.721,0.296,-0.114,0.342
14:10:02:725,1.010,D,D,D,66,RADAR,0.186,1.841,1.725,0.299,-0.115,0.345
14:10:02:735,1.020,D,D,D,66,RADAR,0.188,1.841,1.729,0.302,-0.116,0.350
14:10:02:745,1.030,D,D,D,66,RADAR,0.190,1.841,1.733,0.305,-0.117,0.353
14:10:02:755,1.040,D,D,D,66,RADAR,0.192,1.841,1.736,0.307,-0.118,0.358
14:10:02:765,1.050,D,D,D,66,RADAR,0.194,1.842,1.740,0.310,-0.119,0.361
14:10:02:775,1.060,D,D,D,66,RADAR,0.196,1.842,1.744,0.312,-0.120,0.366
14:10:02:785,1.070,D,D,D,66,RADAR,0.197,1.842,1.747,0.315,-0.122,0.369
14:10:02:795,1.080,D,D,D,66,RADAR,0.200,1.842,1.751,0.318,-0.123,0.374
14:10:02:805,1.090,D,D,D,66,RADAR,0.201,1.842,1.755,0.321,-0.124,0.377
14:10:02:815,1.100,D,D,D,66,RADAR,0.202,1.842,1.758,0.324,-0.125,0.380
14:10:02:825,1.110,D,D,D,65,RADAR,0.205,1.843,1.762,0.327,-0.126,0.385
14:10:02:835,1.120,D,D,D,65,RADAR,0.206,1.843,1.766,0.330,-0.127,0.387
14:10:02:845,1.130,D,D,D,65,RADAR,0.208,1.843,1.769,0.332,-0.128,0.392
14:10:02:855,1.140,D,D,D,65,RADAR,0.209,1.843,1.773,0.335,-0.129,0.395
14:10:02:865,1.150,D,D,D,65,RADAR,0.212,1.843,1.777,0.338,-0.130,0.400
14:10:02:875,1.160,D,D,D,65,RADAR,0.213,1.843,1.780,0.341,-0.131,0.402
14:10:02:885,1.170,D,D,D,62,RADAR,0.215,1.844,1.784,0.343,-0.132,0.407
14:10:02:895,1.180,D,D,D,62,RADAR,0.216,1.844,1.788,0.346,-0.133,0.410
14:10:02:905,1.190,D,D,D,62,RADAR,0.219,1.844,1.791,0.349,-0.134,0.415
14:10:02:915,1.200,D,D,D,62,RADAR,0.220,1.844,1.795,0.352,-0.135,0.418
14:10:02:925,1.210,D,D,D,62,RADAR,0.222,1.844,1.799,0.354,-0.136,0.422
14:10:02:935,1.220,D,D,D,62,RADAR,0.223,1.844,1.802,0.357,-0.138,0.425
14:10:02:945,1.230,D,D,D,62,RADAR,0.224,1.844,1.806,0.360,-0.139,0.428
14:10:02:955,1.240,D,D,D,60,RADAR,0.226,1.845,1.810,0.363,-0.140,0.433
14:10:02:965,1.250,D,D,D,60,RADAR,0.227,1.845,1.814,0.366,-0.141,0.435
14:10:02:975,1.260,D,D,D,60,RADAR,0.230,1.845,1.817,0.368,-0.142,0.440
14:10:02:985,1.270,D,D,D,60,RADAR,0.231,1.845,1.821,0.371,-0.143,0.443
14:10:02:995,1.280,D,D,D,60,RADAR,0.233,1.845,1.825,0.374,-0.144,0.448
14:10:03:005,1.290,D,D,D,60,RADAR,0.234,1.845,1.829,0.377,-0.145,0.450
14:10:03:015,1.300,D,D,D,60,RADAR,0.236,1.846,1.832,0.379,-0.146,0.455
14:10:03:025,1.310,D,D,D,57,RADAR,0.237,1.846,1.836,0.382,-0.147,0.458
14:10:03:035,1.320,D,D,D,57,RADAR,0.239,1.846,1.840,0.385,-0.148,0.463
14:10:03:045,1.330,D,D,D,57,RADAR,0.240,1.846,1.844,0.388,-0.149,0.465
14:10:03:055,1.340,D,D,D,57,RADAR,0.243,1.846,1.847,0.390,-0.150,0.470
14:10:03:065,1.350,D,D,D,57,RADAR,0.244,1.846,1.851,0.393,-0.151,0.473
14:10:03:075,1.360,D,D,D,57,RADAR,0.246,1.847,1.855,0.396,-0.152,0.477
14:10:03:085,1.370,D,D,D,57,RADAR,0.247,1.847,1.859,0.399,-0.153,0.480
14:10:03:095,1.380,D,D,D,54,RADAR,0.248,1.847,1.862,0.402,-0.154,0.483
14:10:03:105,1.390,D,D,D,54,RADAR,0.250,1.847,1.866,0.405,-0.156,0.488
14:10:03:115,1.400,D,D,D,54,RADAR,0.251,1.847,1.870,0.408,-0.157,0.490
14:10:03:125,1.410,D,D,D,54,RADAR,0.253,1.847,1.874,0.410,-0.158,0.495
14:10:03:135,1.420,D,D,D,54,RADAR,0.254,1.847,1.878,0.413,-0.159,0.498
14:10:03:145,1.430,D,D,D,54,RADAR,0.256,1.847,1.881,0.416,-0.160,0.502
14:10:03:155,1.440,D,D,D,54,RADAR,0.257,1.848,1.885,0.419,-0.161,0.505
14:10:03:165,1.450,D,D,D,52,RADAR,0.259,1.848,1.889,0.421,-0.162,0.510
14:10:03:175,1.460,D,D,D,52,RADAR,0.260,1.848,1.893,0.424,-0.163,0.513
14:10:03:185,1.470,D,D,D,52,RADAR,0.262,1.848,1.897,0.427,-0.164,0.517
14:10:03:195,1.480,D,D,D,52,RADAR,0.263,1.848,1.900,0.430,-0.165,0.520
14:10:03:205,1.490,D,D,D,52,RADAR,0.265,1.848,1.904,0.432,-0.166,0.525
14:10:03:215,1.500,D,D,D,52,RADAR,0.266,1.848,1.908,0.435,-0.167,0.527
14:10:03:225,1.510,D,D,D,52,RADAR,0.267,1.849,1.912,0.438,-0.168,0.530
14:10:03:235,1.520,D,D,D,50,RADAR,0.269,1.849,1.916,0.441,-0.169,0.535
14:10:03:245,1.530,D,D,D,50,RADAR,0.270,1.849,1.919,0.444,-0.170,0.538
14:10:03:255,1.540,D,D,D,50,RADAR,0.271,1.849,1.923,0.446,-0.172,0.542
14:10:03:265,1.550,D,D,D,50,RADAR,0.272,1.849,1.927,0.449,-0.173,0.545
14:10:03:275,1.560,D,D,D,50,RADAR,0.274,1.849,1.931,0.452,-0.174,0.550
14:10:03:285,1.570,D,D,D,50,RADAR,0.275,1.849,1.935,0.455,-0.175,0.552
14:10:03:295,1.580,D,D,D,48,RADAR,0.277,1.850,1.939,0.457,-0.176,0.557
14:10:03:305,1.590,D,D,D,48,RADAR,0.278,1.850,1.943,0.460,-0.177,0.560
14:10:03:315,1.600,D,D,D,48,RADAR,0.280,1.850,1.946,0.463,-0.178,0.564
14:10:03:325,1.610,D,D,D,48,RADAR,0.281,1.850,1.950,0.466,-0.179,0.567
14:10:03:335,1.620,D,D,D,48,RADAR,0.283,1.850,1.954,0.469,-0.180,0.572
14:10:03:345,1.630,D,D,D,48,RADAR,0.284,1.850,1.958,0.472,-0.181,0.574
14:10:03:355,1.640,D,D,D,48,RADAR,0.285,1.850,1.962,0.475,-0.182,0.577
14:10:03:365,1.650,D,D,D,46,RADAR,0.286,1.851,1.966,0.477,-0.183,0.582
14:10:03:375,1.660,D,D,D,46,RADAR,0.287,1.851,1.970,0.480,-0.184,0.585
14:10:03:385,1.670,D,D,D,46,RADAR,0.289,1.851,1.973,0.483,-0.185,0.589
14:10:03:395,1.680,D,D,D,46,RADAR,0.290,1.851,1.977,0.486,-0.186,0.592
14:10:03:405,1.690,D,D,D,46,RADAR,0.292,1.851,1.981,0.488,-0.187,0.596
14:10:03:415,1.700,D,D,D,46,RADAR,0.293,1.851,1.985,0.491,-0.189,0.599
14:10:03:425,1.710,D,D,D,46,RADAR,0.294,1.851,1.989,0.494,-0.190,0.604
14:10:03:435,1.720,D,D,D,45,RADAR,0.295,1.851,1.993,0.497,-0.191,0.607
14:10:03:445,1.730,D,D,D,45,RADAR,0.297,1.852,1.997,0.499,-0.192,0.611
14:10:03:455,1.740,D,D,D,45,RADAR,0.298,1.852,2.001,0.502,-0.193,0.614
14:10:03:465,1.750,D,D,D,45,RADAR,0.300,1.852,2.005,0.505,-0.194,0.619
14:10:03:475,1.760,D,D,D,45,RADAR,0.301,1.852,2.008,0.508,-0.195,0.622
14:10:03:485,1.770,D,D,D,45,RADAR,0.303,1.852,2.012,0.510,-0.196,0.627
14:10:03:495,1.780,D,D,D,45,RADAR,0.304,1.852,2.016,0.513,-0.197,0.630
14:10:03:505,1.790,D,D,D,44,RADAR,0.305,1.852,2.020,0.516,-0.198,0.633
14:10:03:515,1.800,D,D,D,44,RADAR,0.307,1.853,2.024,0.518,-0.199,0.638
14:10:03:525,1.810,D,D,D,44,RADAR,0.308,1.853,2.028,0.521,-0.200,0.641
14:10:03:535,1.820,D,D,D,44,RADAR,0.310,1.853,2.032,0.523,-0.201,0.646
14:10:03:545,1.830,D,D,D,44,RADAR,0.311,1.853,2.036,0.526,-0.202,0.649
14:10:03:555,1.840,D,D,D,44,RADAR,0.313,1.853,2.040,0.529,-0.203,0.654
14:10:03:565,1.850,D,D,D,44,RADAR,0.314,1.853,2.044,0.532,-0.204,0.658
14:10:03:575,1.860,D,D,D,44,RADAR,0.316,1.853,2.048,0.534,-0.205,0.663
14:10:03:585,1.870,D,D,D,44,RADAR,0.317,1.853,2.052,0.537,-0.206,0.666
14:10:03:595,1.880,D,D,D,44,RADAR,0.319,1.854,2.056,0.539,-0.207,0.671
14:10:03:605,1.890,D,D,D,44,RADAR,0.320,1.854,2.059,0.542,-0.208,0.674
14:10:03:615,1.900,D,D,D,44,RADAR,0.322,1.854,2.063,0.544,-0.209,0.679
14:10:03:625,1.910,D,D,D,44,RADAR,0.323,1.854,2.067,0.547,-0.210,0.682
14:10:03:635,1.920,D,D,D,44,RADAR,0.324,1.854,2.071,0.550,-0.211,0.685
14:10:03:645,1.930,D,D,D,44,RADAR,0.326,1.854,2.075,0.553,-0.212,0.690
14:10:03:655,1.940,D,D,D,44,RADAR,0.326,1.854,2.079,0.556,-0.213,0.693
14:10:03:665,1.950,D,D,D,44,RADAR,0.328,1.854,2.083,0.558,-0.214,0.698
14:10:03:675,1.960,D,D,D,44,RADAR,0.329,1.854,2.087,0.561,-0.215,0.701
14:10:03:685,1.970,D,D,D,44,RADAR,0.331,1.855,2.091,0.563,-0.216,0.706
14:10:03:695,1.980,D,D,D,44,RADAR,0.332,1.855,2.095,0.566,-0.217,0.709
14:10:03:705,1.990,D,D,D,43,RADAR,0.334,1.855,2.099,0.568,-0.219,0.714
14:10:03:715,2.000,D,D,D,43,RADAR,0.335,1.855,2.103,0.571,-0.220,0.717
14:10:03:725,2.010,D,D,D,43,RADAR,0.336,1.855,2.107,0.574,-0.221,0.722
14:10:03:735,2.020,D,D,D,43,RADAR,0.337,1.855,2.111,0.577,-0.222,0.725
14:10:03:745,2.030,D,D,D,43,RADAR,0.339,1.855,2.115,0.579,-0.223,0.730
14:10:03:755,2.040,D,D,D,43,RADAR,0.340,1.855,2.118,0.581,-0.223,0.733
14:10:03:765,2.050,D,D,D,43,RADAR,0.341,1.856,2.122,0.584,-0.224,0.737
14:10:03:775,2.060,D,D,D,43,RADAR,0.342,1.856,2.126,0.586,-0.225,0.740
14:10:03:785,2.070,D,D,D,43,RADAR,0.343,1.856,2.130,0.589,-0.226,0.743
14:10:03:795,2.080,D,D,D,43,RADAR,0.345,1.856,2.133,0.591,-0.227,0.747
14:10:03:805,2.090,D,D,D,43,RADAR,0.345,1.856,2.137,0.594,-0.228,0.750
14:10:03:815,2.100,D,D,D,43,RADAR,0.347,1.856,2.141,0.597,-0.229,0.754
14:10:03:825,2.110,D,D,D,43,RADAR,0.348,1.856,2.145,0.599,-0.230,0.757
14:10:03:835,2.120,D,D,D,43,RADAR,0.349,1.856,2.148,0.602,-0.231,0.761
14:10:03:845,2.130,D,D,D,43,RADAR,0.350,1.856,2.152,0.604,-0.232,0.764
14:10:03:855,2.140,D,D,D,43,RADAR,0.351,1.857,2.156,0.607,-0.233,0.768
14:10:03:865,2.150,D,D,D,43,RADAR,0.352,1.857,2.160,0.610,-0.234,0.771
14:10:03:875,2.160,D,D,D,43,RADAR,0.353,1.857,2.163,0.612,-0.235,0.775
14:10:03:885,2.170,D,D,D,43,RADAR,0.354,1.857,2.167,0.615,-0.236,0.778
14:10:03:895,2.180,D,D,D,43,RADAR,0.356,1.857,2.171,0.617,-0.237,0.782
14:10:03:905,2.190,D,D,D,43,RADAR,0.356,1.857,2.175,0.620,-0.238,0.785
14:10:03:915,2.200,D,D,D,42,RADAR,0.357,1.857,2.178,0.623,-0.239,0.788
14:10:03:925,2.210,D,D,D,42,RADAR,0.358,1.857,2.182,0.625,-0.240,0.792
14:10:03:935,2.220,D,D,D,42,RADAR,0.359,1.857,2.186,0.628,-0.241,0.794
14:10:03:945,2.230,D,D,D,42,RADAR,0.360,1.858,2.190,0.630,-0.242,0.799
14:10:03:955,2.240,D,D,D,42,RADAR,0.361,1.858,2.194,0.633,-0.243,0.801
14:10:03:965,2.250,D,D,D,42,RADAR,0.362,1.858,2.197,0.635,-0.244,0.805
14:10:03:975,2.260,D,D,D,42,RADAR,0.363,1.858,2.201,0.638,-0.245,0.808
14:10:03:985,2.270,D,D,D,41,RADAR,0.364,1.858,2.205,0.641,-0.246,0.812
14:10:03:995,2.280,D,D,D,41,RADAR,0.365,1.858,2.209,0.643,-0.247,0.815
14:10:04:005,2.290,D,D,D,41,RADAR,0.366,1.858,2.212,0.646,-0.248,0.819
14:10:04:015,2.300,D,D,D,41,RADAR,0.367,1.858,2.216,0.649,-0.249,0.821
14:10:04:025,2.310,D,D,D,41,RADAR,0.368,1.858,2.220,0.651,-0.250,0.825
14:10:04:035,2.320,D,D,D,41,RADAR,0.369,1.858,2.224,0.654,-0.251,0.828
14:10:04:045,2.330,D,D,D,40,RADAR,0.370,1.859,2.228,0.656,-0.252,0.832
14:10:04:055,2.340,D,D,D,40,RADAR,0.371,1.859,2.231,0.659,-0.253,0.835
14:10:04:065,2.350,D,D,D,40,RADAR,0.371,1.859,2.235,0.662,-0.254,0.837
14:10:04:075,2.360,D,D,D,40,RADAR,0.372,1.859,2.239,0.664,-0.255,0.841
14:10:04:085,2.370,D,D,D,40,RADAR,0.373,1.859,2.243,0.667,-0.256,0.844
14:10:04:095,2.380,D,D,D,40,RADAR,0.374,1.859,2.247,0.670,-0.257,0.848
14:10:04:105,2.390,D,D,D,40,RADAR,0.375,1.859,2.250,0.672,-0.258,0.850
14:10:04:115,2.400,D,D,D,39,RADAR,0.376,1.859,2.254,0.675,-0.259,0.854
14:10:04:125,2.410,D,D,D,39,RADAR,0.377,1.859,2.258,0.678,-0.260,0.857
14:10:04:135,2.420,D,D,D,39,RADAR,0.378,1.859,2.262,0.680,-0.261,0.861
14:10:04:145,2.430,D,D,D,39,RADAR,0.378,1.859,2.266,0.683,-0.262,0.864
14:10:04:155,2.440,D,D,D,39,RADAR,0.380,1.860,2.270,0.685,-0.263,0.868
14:10:04:165,2.450,D,D,D,39,RADAR,0.380,1.860,2.273,0.688,-0.264,0.870
14:10:04:175,2.460,D,D,D,39,RADAR,0.381,1.860,2.277,0.691,-0.265,0.874
14:10:04:185,2.470,D,D,D,38,RADAR,0.382,1.860,2.281,0.693,-0.266,0.877
14:10:04:195,2.480,D,D,D,38,RADAR,0.383,1.860,2.285,0.696,-0.267,0.880
14:10:04:205,2.490,D,D,D,38,RADAR,0.384,1.860,2.289,0.699,-0.268,0.884
14:10:04:215,2.500,D,D,D,38,RADAR,0.384,1.860,2.292,0.702,-0.269,0.886
14:10:04:225,2.510,D,D,D,38,RADAR,0.386,1.860,2.296,0.704,-0.270,0.890
14:10:04:235,2.520,D,D,D,38,RADAR,0.386,1.860,2.300,0.707,-0.271,0.893
14:10:04:245,2.530,D,D,D,38,RADAR,0.387,1.860,2.304,0.709,-0.272,0.897
14:10:04:255,2.540,D,D,D,37,RADAR,0.388,1.861,2.308,0.712,-0.273,0.899
14:10:04:265,2.550,D,D,D,37,RADAR,0.389,1.861,2.312,0.714,-0.274,0.903
14:10:04:275,2.560,D,D,D,37,RADAR,0.390,1.861,2.315,0.717,-0.275,0.906
14:10:04:285,2.570,D,D,D,37,RADAR,0.391,1.861,2.319,0.720,-0.276,0.910
14:10:04:295,2.580,D,D,D,37,RADAR,0.391,1.861,2.323,0.723,-0.277,0.913
14:10:04:305,2.590,D,D,D,37,RADAR,0.392,1.861,2.327,0.725,-0.278,0.916
14:10:04:315,2.600,D,D,D,37,RADAR,0.393,1.861,2.331,0.728,-0.279,0.919
14:10:04:325,2.610,D,D,D,36,RADAR,0.394,1.861,2.335,0.731,-0.280,0.922
14:10:04:335,2.620,D,D,D,36,RADAR,0.395,1.861,2.339,0.733,-0.281,0.926
14:10:04:345,2.630,D,D,D,36,RADAR,0.395,1.861,2.342,0.736,-0.282,0.928
14:10:04:355,2.640,D,D,D,36,RADAR,0.396,1.861,2.346,0.738,-0.283,0.932
14:10:04:365,2.650,D,D,D,36,RADAR,0.397,1.862,2.350,0.741,-0.284,0.935
14:10:04:375,2.660,D,D,D,36,RADAR,0.398,1.862,2.354,0.743,-0.285,0.939
14:10:04:385,2.670,D,D,D,36,RADAR,0.399,1.862,2.358,0.746,-0.286,0.942
14:10:04:395,2.680,D,D,D,36,RADAR,0.400,1.862,2.362,0.749,-0.287,0.945
14:10:04:405,2.690,D,D,D,36,RADAR,0.400,1.862,2.366,0.752,-0.288,0.948
14:10:04:415,2.700,D,D,D,36,RADAR,0.401,1.862,2.369,0.754,-0.289,0.952
14:10:04:425,2.710,D,D,D,36,RADAR,0.402,1.862,2.373,0.757,-0.290,0.955
14:10:04:435,2.720,D,D,D,36,RADAR,0.403,1.862,2.377,0.759,-0.291,0.959
14:10:04:445,2.730,D,D,D,36,RADAR,0.403,1.862,2.381,0.762,-0.292,0.961
14:10:04:455,2.740,D,D,D,36,RADAR,0.404,1.862,2.385,0.764,-0.293,0.965
14:10:04:465,2.750,D,D,D,36,RADAR,0.405,1.863,2.389,0.767,-0.294,0.968
14:10:04:475,2.760,D,D,D,36,RADAR,0.406,1.863,2.393,0.770,-0.295,0.970
14:10:04:485,2.770,D,D,D,36,RADAR,0.407,1.863,2.396,0.773,-0.296,0.974
